goid	go_term	go_aspect	go_definition
GO:0032182	small conjugating protein binding	F	Interacting selectively and non-covalently with a small conjugating protein such as ubiquitin or a ubiquitin-like protein.
GO:0032196	transposition	P	Any process involved in mediating the movement of discrete segments of DNA between nonhomologous sites.
GO:0032200	telomere organization	P	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins.
GO:0032221	Rpd3S complex	C	A eukaryotically conserved histone deacetylase complex which deacetylates histones preferentially in promoter regions. Composed of a catalytic histone deacetylase subunit, a chromodomain protein, a SIN3 family co-repressor, and a WD repeat protein (Clr6p, Alp13p, Pst2p, and Prw1p respectively in Schizosaccharomyces; Rpd3p, Sin3p, Ume1p, Rco1p and Eaf3 in Saccharomyces; homologs thereof in other species).
GO:0032299	ribonuclease H2 complex	C	A protein complex that possesses ribonuclease H activity, in which the catalytic subunit is a member of the RNase H2 (or HII) class. For example, in Saccharomyces the complex contains Rnh201p, Rnh202p and Rnh203p.
GO:0032301	MutSalpha complex	C	A heterodimer involved in the recognition and repair of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MSH2 and MSH6.
GO:0032302	MutSbeta complex	C	A heterodimer involved in binding to and correcting insertion/deletion mutations. In human the complex consists of two subunits, MSH2 and MSH3.
GO:0032389	MutLalpha complex	C	A heterodimer involved in the recognition of base-base and small insertion/deletion mismatches. In human the complex consists of two subunits, MLH1 and PMS2.
GO:0032543	mitochondrial translation	P	The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code.
GO:0032545	CURI complex	C	A protein complex that is involved in the transcription of ribosomal genes. In Saccharomyces this complex consists of Ckb2p, Utp22p, Rrp7p and Ifh1p.
GO:0032777	Piccolo NuA4 histone acetyltransferase complex	C	A heterotrimeric H4/H2A histone acetyltransferase complex with a substrate preference of chromatin over free histones. It contains a subset of the proteins found in the larger NuA4 histone acetyltransferase complex; for example, the S. cerevisiae complex contains Esa1p, Yng2p, and Epl1p.
GO:0032787	monocarboxylic acid metabolic process	P	The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-).
GO:0032806	carboxy-terminal domain protein kinase complex	C	A protein complex that phosphorylates amino acid residues of RNA polymerase II C-terminal domain repeats; phosphorylation occurs mainly on Ser2 and Ser5.
GO:0032807	DNA ligase IV complex	C	A eukaryotically conserved protein complex that contains DNA ligase IV and is involved in DNA repair by non-homologous end joining; in addition to the ligase, the complex also contains XRCC4 or a homolog, e.g. Saccharomyces Lif1p.
GO:0032865	ERMES complex	C	A protein complex that links the endoplasmic reticulum with mitochondria and may have a role in promoting exchange of calcium and phospholipids between the two organelles. The complex is also associated with actively replicating mitochondrial DNA nucleoids, and may further coordinate mitochondrial genome replication and membrane growth.
GO:0033043	regulation of organelle organization	P	Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle.
GO:0033062	Rhp55-Rhp57 complex	C	A conserved heterodimeric DNA recombinase mediator complex that contains the RecA family proteins Rhp55p and Rph57 in Schizosaccharomyces, or orthologs thereof (e.g. Rad55p and Rad57p in Saccharomyces).
GO:0033100	NuA3 histone acetyltransferase complex	C	A Gcn5-independent multisubunit complex that catalyzes the acetylation of histone H3. The budding yeast complex includes Sas3p, Taf30p, and Yng1p.
GO:0033186	CAF-1 complex	C	A conserved heterotrimeric protein complex that promotes histone H3 and H4 deposition onto newly synthesized DNA during replication or DNA repair; specifically facilitates replication-dependent nucleosome assembly with the major histone H3 (H3.1). In many species the CAF-1 subunits are designated p150, p60, and p48.
GO:0033203	DNA helicase A complex	C	A homohexameric protein complex that possesses DNA helicase activity; associates with DNA polymerase alpha-primase and translocates in the 5' to 3' direction.
GO:0033254	vacuolar transporter chaperone complex	C	A protein complex that contains four related proteins that have been implicated in several membrane-related processes, such as sorting of H+-translocating ATPases, endocytosis, ER-Golgi trafficking, vacuole fusion, vacuolar polyphosphate homeostasis and the microautophagic scission of vesicles into the vacuolar lumen. The complex is enriched at the vacuolar membrane, but also found in other cellular compartments, including the ER and the cell periphery. In Saccharomyces, the subunits are Vtc1p, Vtc2p, Vtc3p and Vtc4p.
GO:0033255	SAS acetyltransferase complex	C	A protein complex that possesses histone acetyltransferase activity and links histone acetylation to the assembly of transcriptionally silent chromatin. In vitro, the complex acetylates lysine 16 of histone H4 and lysine 14 of histone H3, although the latter may not be relevant in vivo. The complex contains a catalytic subunit and at least two other subunits; in Saccharomyces, the catalytic subunit is Sas2p and additional subunits are Sas4p and Sas5p.
GO:0033263	CORVET complex	C	A multimeric protein complex that acts as an endosomal tethering complex (CORVET = class C core vacuole/endosome tethering) by cooperating with Rab GTPases to capture endosomal vesicles and trap them prior to the action of SNAREs; the complex is involved in endo-lysosomal biogenesis and required for transport between endosome and vacuole. The Saccharomyces cerevisiae complex contains Vps8p, Vps3p, Pep5p, Vps16p, Pep3p, and Vps33p.
GO:0033290	eukaryotic 48S preinitiation complex	C	A protein complex composed of the small ribosomal subunit, eIF3, eIF1A, methionyl-initiatior methionine and a capped mRNA. The complex is initially positioned at the 5'-end of the capped mRNA.
GO:0033309	SBF transcription complex	C	A protein complex that binds to the Swi4/6 cell cycle box (SCB) promoter element, consensus sequence CRCGAAA, and activates transcription during the G1/S transition of the cell cycle. In Saccharomyces, the complex contains a heterodimer of the DNA binding protein Swi6p and the activator Swi4p, and is associated with additional proteins known as Whi5p and Msa1p.
GO:0033551	monopolin complex	C	A protein complex required for clamping microtubule binding sites, ensuring orientation of sister kinetochores to the same pole (mono-orientation) during meiosis I. In the yeast S. cerevisiae this complex consists of Csm1p, Lrs4p, Hrr25p and Mam1p; in S. pombe Psc1 and Mde4 have been identified as subunits.
GO:0033557	Slx1-Slx4 complex	C	A heterodimeric protein complex that possesses an endonuclease activity that specifically cleaves certain types of branched DNA structures; because such structures often form during the replication ribosomal DNA (rDNA) repeats, the complex plays a role in the maintenance of rDNA. The subunits are known as Slx1 and Slx 4 in budding and fission yeasts, and are conserved in eukaryotes.
GO:0033565	ESCRT-0 complex	C	A protein complex required for the recycling of Golgi proteins, formation of lumenal membranes and sorting of ubiquitinated proteins into those membranes. This complex includes Vps1p and Hse1p in yeast and the Hrs and STAM proteins in mammals.
GO:0033573	high affinity iron permease complex	C	A protein complex composed of a multicopper ferroxidase that oxidizes Fe(II) to Fe(III), and a ferric iron permease that transports the produced Fe(III) into the cell.
GO:0033588	Elongator holoenzyme complex	C	A heterohexameric protein complex that is involved in modification of wobble nucleosides in tRNA, and exerts direct effects on transcriptional elongation and exocytosis. The complex can associate physically with hyperphosphorylated RNA polymerase II; it contains two discrete heterotrimeric subcomplexes.
GO:0033597	mitotic checkpoint complex	C	A multiprotein complex that functions as a mitotic checkpoint inhibitor of the anaphase-promoting complex/cyclosome (APC/C). In budding yeast this complex consists of Mad2p, Mad3p, Bub3p and Cdc20p, and in mammalian cells it consists of MAD2, BUBR1, BUB3, and CDC20.
GO:0033698	Rpd3L complex	C	A histone deacetylase complex which deacetylates histones across gene coding regions. Composed of a catalytic histone deacetylase subunit, an Sds-3 family protein, a SIN3 family co-repressor, a WD repeat protein, and a zf- PHD finger (Clr6, Sds3, Pst1, Prw1, Png2 in Schizosaccharomyces pombe; Rpd3p, Sin3p, Ume1p, Pho23p, Sap30p, Sds3p, Cti6p, Rxt2p, Rxt3p, Dep1p, Ume6p and Ash1p in Saccharomyces cerevisiae).
GO:0033768	SUMO-targeted ubiquitin ligase complex	C	A nuclear ubiquitin ligase complex that specifically targets SUMOylated proteins; the complex is formed of homodimers or heterodimers of RNF4 family ubiquitin ligases and is conserved in eukaryotes.
GO:0034044	exomer complex	C	A protein complex that forms a coat structure on vesicles involved in exocytosis of proteins from the trans-Golgi network to the cell surface; in Saccharomyces, the complex contains Chs5p, Chs6p, and Chs6p paralogues.
GO:0034066	RIC1-RGP1 guanyl-nucleotide exchange factor complex	C	A protein complex that acts as a nucleotide exchange factor for the GTPase Ypt6p, and is required for fusion of endosome-derived vesicles with the Golgi.
GO:0034098	Cdc48p-Npl4p-Ufd1p AAA ATPase complex	C	A multiprotein ATPase complex required for the efficient dislocation of ER-lumenal degradation substrates, and their subsequent proteolysis by the proteasome. In budding yeast, this complex includes Cdc48p, Npl4p and Ufd1p proteins.
GO:0034099	luminal surveillance complex	C	A multiprotein complex that recognizes ERAD-luminal misfolded substrates and brings them to the ubiquitination/extraction machinery. In yeast, this complex consists of Yos9p, Kar2p and Hrd3p proteins.
GO:0034245	mitochondrial DNA-directed RNA polymerase complex	C	A DNA-directed RNA polymerase complex located in the mitochondrion. Mitochondrial RNA polymerase is composed of two subunits, a catalytic core, which resembles the enzymes from bacteriophage T7 and T3, and a specificity factor required for promoter recognition, which is similar to members of the eubacterial sigma factor family. In S. cerevisiae, these are encoded by the nuclear genes RPO41 and MTF1 and the specificity factor, required for promoter recognition and initiation, is not present in the elongating form.
GO:0034270	CVT complex	C	A protein complex that is involved in the CVT pathway. In budding yeast, the CVT complex consists of multimers of preApe1p.
GO:0034271	phosphatidylinositol 3-kinase complex I	C	A protein complex that posseses phosphatidylinositol 3-kinase activity and is involved in autophagy. In budding yeast, this complex consists of Vps30p, Vps34p, Atg14p and Vps15p.
GO:0034272	phosphatidylinositol 3-kinase complex II	C	A protein complex that posseses phosphatidylinositol 3-kinase activity and is involved in vacuolar protein sorting (VPS) via endosomes. In budding yeast, this complex consists of Vps30p, Vps34p, VPS38 and Vps15p.
GO:0034273	Atg1p signaling complex	C	A protein complex that contains a protein kinase and is required for the autophagosome formation. In budding yeast this complex consists of the kinase Atg1p, Atg13p and Atg17p.
GO:0034274	Atg12-Atg5-Atg16 complex	C	A protein complex required for the expansion of the autophagosomal membrane. In budding yeast, this complex consists of Atg12p, Atg5p and Atg16p.
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	C	A protein complex that forms a subcomplex of the 90S preribosome and can interact directly with the 5' External Transcribed Spacer (ETS) of the full length pre-rRNA transcript. In S. cerevisiae, it sediments at 25-30 S and is composed of Pwp2p, Dip2p, Utp21p, Utp13p, Utp18p, and Utp6p.
GO:0034424	Vps55/Vps68 complex	C	A membrane-associated protein complex that is required for a late stage of endosomal transport. In budding yeast, this complex consists of Vps55p and Vps68p proteins.
GO:0034448	EGO complex	C	A vacuolar membrane-associated protein complex that is required for activation of microautophagy during exit from rapamycin-induced growth arrest. In budding yeast, S. cerevisiae, this complex includes Gtr1p, Gtr2p, Meh1p, and Slm4p.
GO:0034455	t-UTP complex	C	A protein complex that forms a subcomplex of the 90S preribosome and is required for the subsequent assembly of the rest of the preribosome. In S. cerevisiae, it is composed of Utp5p, Utp4p, Nan1p, Utp8p, Utp9p, Utp10 and Utp15p.
GO:0034456	UTP-C complex	C	A protein complex that forms a subcomplex of the 90S preribosome. In S. cerevisiae, it is composed of Rrp7p, Utp22p, Ckb1p, Cka1p, Ckb2p and Cka2p.
GO:0034457	Mpp10 complex	C	A protein complex that forms a subcomplex of the 90S preribosome. In S. cerevisiae, it is composed of Mpp10p, Imp3p and Imp4p.
GO:0034515	proteasome storage granule	C	A multisubunit proteasome complex that localizes in the cytoplasm as dot-like structures when cells are in a quiescent state.
GO:0034657	GID complex	C	A protein complex with ubiquitin ligase activity that is involved in proteasomal degradation of fructose-1,6-bisphosphatase (FBPase) and phosphoenolpyruvate carboxykinase during the transition from gluconeogenic to glycolytic growth conditions. In S. cerevisiae, the GID (Glucose Induced degradation Deficient) complex consists of Vid30p, Rmd5p, Vid24p, Vid28p, Gid7p, Gid8p, and Fyv10p.
GO:0034967	Set3 complex	C	A histone deacetylase complex that is involved in transcriptional regulation. In S. cerevisiae, this complex consists of Set3p, Snt1p, Hos4p, Sif2p, Cpr1p, Hos2p, and Hst1p.
GO:0034990	nuclear mitotic cohesin complex	C	A cohesin complex that mediates sister chromatid cohesion in the nucleus during mitosis; has a subunit composition distinct from that of the meiotic cohesin complex.
GO:0035101	FACT complex	C	An abundant nuclear complex, which was originally identified in mammalian systems as a factor required for transcription elongation on chromatin templates. The FACT complex has been shown to destablilize the interaction between the H2A/H2B dimer and the H3/H4 tetramer of the nucleosome, thus reorganizing the structure of the nucleosome. In this way, the FACT complex may play a role in DNA replication and other processes that traverse the chromatin, as well as in transcription elongation. FACT is composed of two proteins that are evolutionarily conserved in all eukaryotes and homologous to mammalian Spt16 and SSRP1. In metazoans, the SSRP1 homolog contains an HMG domain; however in fungi and protists, it does not. For example, in S. cerevisiae the Pob3 protein is homologous to SSRP1, but lacks the HMG chromatin binding domain. Instead, the yFACT complex of Spt16p and Pob3p, binds to nucleosomes where multiple copies of the HMG-domain containing protein Nhp6p have already bound, but Nhp6p does not form a stable complex with the Spt16p/Pob3p heterodimer.
GO:0035267	NuA4 histone acetyltransferase complex	C	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).
GO:0035339	SPOTS complex	C	A multiprotein complex at least composed of serine palmitoyltransferases and ORM proteins (known as ORMDL proteins in mammals and other higher vertebrates) that plays a key role in sphingolipid homeostasis.
GO:0035361	Cul8-RING ubiquitin ligase complex	C	A ubiquitin ligase complex in which a cullin from the Cul8 subfamily and a RING domain protein form the catalytic core. In S. cerevisiae, Mms1p acts as the adaptor protein and substrate specificity is conferred by any of a number of different proteins.
GO:0035371	microtubule plus-end	C	The growing (plus) end of a microtubule. In vitro, microtubules polymerize more quickly at the plus end than at the minus end. In vivo, microtubule growth occurs only at the plus end, and the plus end switches between periods of growth and shortening, a behavior known as dynamic instability.
GO:0035649	Nrd1 complex	C	A complex that functions in transcription termination of RNA polymerase II transcribed non-coding RNAs. This complex interacts with the carboxy-terminal domain (CTD) of PolII and the terminator sequences in the nascent RNA transcript. In yeast this complex consists of Nrd1p, Nab3p, and Sen1p.
GO:0035657	eRF1 methyltransferase complex	C	A protein complex required for the methylation of a glutamine (Gln) residue in the protein release factor eRF1. In S. cerevisiae, this complex consists of at least Trm112p and Mtq2p.
GO:0035658	Mon1-Ccz1 complex	C	A protein complex that functions as a guanine nucleotide exchange factor (GEF) and converts Rab-GDP to Rab-GTP. In S. cerevisiae, this complex consists of at least Mon1 and Ccz1, and serves as a GEF for the Rab Ypt7p.
GO:0035859	Seh1-associated complex	C	A protein complex that associates dynamically with the vacuolar membrane, and is proposed to have a role in membrane-associated trafficking or regulatory processes. In S. cerevisiae the complex contains Seh1p, Sec13p, Npr2p, Npr3p, Iml1p, Mtc5p, Rtc1p, and Sea4p.
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex	C	A multiprotein ATPase complex involved in the release of polyubiquitinated proteins, including those damaged by oxidative stress, from the outer mitochondria membrane into the cytoplasm where they are presented to the proteasome for proteolysis, a process also referred to as mitochondria-associated degradation (MAD). In budding yeast, this complex includes Cdc48p, Npl4p and Vms1p.
GO:0036396	MIS complex	C	An mRNA methyltransferase complex that catalyzes the post-transcriptional methylation of adenosine to form N6-methyladenosine (m6A). In budding yeast, the MIS complex consists of Mum2p, Ime4p and Slz1p. In vertebrates, the complex consists of METTL3, METTL14 and WTAP.
GO:0036436	Isw1a complex	C	An Isw1 complex that binds DNA and has nucleosome-stimulated ATPase activity. In S. cerevisiae, contains an Isw1p ATPase subunit in complex with Ioc3p.
GO:0036437	Isw1b complex	C	An Isw1 complex that binds DNA and has nucleosome-stimulated ATPase activity. In S. cerevisiae, contains an Isw1p ATPase subunit in complex with Ioc2p and Ioc4p.
GO:0042221	response to chemical	P	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus.
GO:0042255	ribosome assembly	P	The aggregation, arrangement and bonding together of the mature ribosome and of its subunits.
GO:0042272	nuclear RNA export factor complex	C	A protein complex that contains two proteins (know in several organisms, including Drosophila, as NXF1 and NXF2) and is required for the export of the majority of mRNAs from the nucleus to the cytoplasm; localized in the nucleoplasm and at both the nucleoplasmic and cytoplasmic faces of the nuclear pore complex; shuttles between the nucleus and the cytoplasm.
GO:0042273	ribosomal large subunit biogenesis	P	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis.
GO:0042274	ribosomal small subunit biogenesis	P	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis.
GO:0042393	histone binding	F	Interacting selectively and non-covalently with a histone, any of a group of water-soluble proteins found in association with the DNA of plant and animal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in nonspecific suppression of gene activity.
GO:0042555	MCM complex	C	A hexameric protein complex required for the initiation and regulation of DNA replication.
GO:0042594	response to starvation	P	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a starvation stimulus, deprivation of nourishment.
GO:0042719	mitochondrial intermembrane space protein transporter complex	C	Soluble complex of the mitochondrial intermembrane space composed of various combinations of small Tim proteins; acts as a protein transporter to guide proteins to the Tim22 complex for insertion into the mitochondrial inner membrane.
GO:0042720	mitochondrial inner membrane peptidase complex	C	Protease complex of the mitochondrial inner membrane, consisting of at least two subunits, involved in processing of both nuclear- and mitochondrially-encoded proteins targeted to the intermembrane space.
GO:0042721	mitochondrial inner membrane protein insertion complex	C	A multi-subunit complex embedded in the mitochondrial inner membrane that mediates insertion of carrier proteins into the inner membrane.
GO:0042729	DASH complex	C	A large protein complex, containing around 8-10 subunits in yeast, including Duo1p, Dam1p, Dad1p and Ask1p. The complex forms part of the kinetochore, associates with microtubules when the kinetochore attaches to the spindle, and plays a role in spindle attachment, chromosome segregation and spindle stability.
GO:0042765	GPI-anchor transamidase complex	C	An enzyme complex which in humans and yeast consists of at least five proteins; for example, the complex contains GAA1, GPI8, PIG-S, PIG-U, and PIG-T in human, and Gaa1p, Gab1p, Gpi8p, Gpi16p, and Gpi17p in yeast. Catalyzes the posttranslational attachment of the carboxyl-terminus of a precursor protein to a GPI-anchor.
GO:0042788	polysomal ribosome	C	A ribosome bound to mRNA that forms part of a polysome.
GO:0043144	snoRNA processing	P	Any process involved in the conversion of a primary small nucleolar RNA (snoRNA) transcript into a mature snoRNA.
GO:0043167	ion binding	F	Interacting selectively and non-covalently with ions, charged atoms or groups of atoms.
GO:0043224	nuclear SCF ubiquitin ligase complex	C	A ubiquitin ligase complex, located in the nucleus, in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).
GO:0043291	RAVE complex	C	A multisubunit complex that in Saccharomyces is composed of three subunits, Rav1p, Rav2p and Skp1p. Acts transiently to catalyze assembly of cytoplasmic V1, with membrane embedded V0 to form the V-ATPase holoenzyme.
GO:0043505	centromere-specific nucleosome	C	A form of nucleosome located only at the centromere, in which the histone H3 is replaced by the variant form CENP-A (sometimes known as CenH3).
GO:0043527	tRNA methyltransferase complex	C	A multimeric protein complex involved in the methylation of specific nucleotides in tRNA.
GO:0043528	tRNA (m2G10) methyltransferase complex	C	A protein complex required for the methylation of the guanosine nucleotide at position 10 (m2G10) in tRNA. In S. cerevisiae, this complex consists of at least two subunits, Trm11p and Trm112p.
GO:0043529	GET complex	C	A multisubunit complex involved in ER/Golgi trafficking (Golgi to ER Traffic). In yeast, includes Get1p, Get2p and Get3p proteins.
GO:0043541	UDP-N-acetylglucosamine transferase complex	C	A multienzyme, heterooligomeric complex involved in dolichyl-linked oligosaccharide synthesis. In yeast the complex is composed of Alg7p, which catalyzes the first step (GlcNAc1-PP-Dol from dolichol-phosphate and UDP-GlcNAc), and Alg13p plus Alg14p, the catalytic and anchoring subunits respectively, which together catalyze the second step (GlcNAc2-PP-dolichol from GlcNAc1-PP-Dol and UDP-GlcNAc) of dolichyl-linked oligosaccharide synthesis.
GO:0043543	protein acylation	P	The addition of an acyl group, any group or radical of the form RCO- where R is an organic group, to a protein amino acid.
GO:0043564	Ku70:Ku80 complex	C	Heterodimeric protein complex composed of a 70 kDa and a 80 kDa subunit, binds DNA through a channel formed by the heterodimer. Functions in DNA double stranded break repair, chromosome maintenance, transcription regulation, V(D)J recombination, and activation of DNA-PK.
GO:0043614	multi-eIF complex	C	A multifactor complex composed of multiple translation initiation factors and the initiatior tRNAiMet, which is ready to bind to the small (40S) ribosome to form the 43S preinitiation complex. In S. cerevisiae, this complex is composed of eIF1, eIF2, eIF3, and eIF5.
GO:0043625	delta DNA polymerase complex	C	A multimeric DNA polymerase enzyme complex which differs in composition amongst species; in humans it is a heterotetramer of four subunits of approximately 125, 50, 68 and 12kDa, while in S. cerevisiae, it has three different subunits which form a heterotrimer, and the active enzyme is a dimer of this heterotrimer. Functions in DNA replication, mismatch repair and excision repair.
GO:0043934	sporulation	P	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.
GO:0044611	nuclear pore inner ring	C	A subcomplex of the nuclear pore complex (NPC) that forms the inner rings of the core scaffold, a lattice-like structure that gives the NPC its shape and strength. In S. cerevisiae, the two inner rings are each composed of Nup192p, Nup188p, Nup170p and Nup157p. In vertebrates, the two inner rings are each composed of Nup205, Nup188 and Nup155. Components are arranged in 8-fold symmetrical 'spokes' around the central transport channel. A single 'spoke', can be isolated and is sometimes referred to as the Nup170 complex.
GO:0044612	nuclear pore linkers	C	A substructure of the nuclear pore complex (NPC) that serves to connect members of the central transport channel (composed of FG-nucleoporins) to the core scaffold (composed of the inner and outer NPC rings). In S. cerevisiae, the linkers are Nic96p and Nup82p. In vertebrates, they are Nup93 and Nup88. Components are arranged in 8-fold symmetrical 'spokes' around the central transport channel. Both linkers can be isolated in association with specific FG-nucleoporins, complexes that are sometimes referred to as the Nic96 complex (Nic96p-Nsp1p-Nup49p-Nup57p) and the Nup82 complex (Nup82p-Nup116p-Nup159p-Gle2p).
GO:0044613	nuclear pore central transport channel	C	The central substructure of the nuclear pore complex (NPC), through which nucleocytoplasmic transport of RNAs, proteins and small molecules occurs. The central transport channel is filled with FG-nucleoporins, which form a selective barrier and provide a series of binding sites for transporter proteins. Characterized S. cerevisiae FG-nucleoporins include Nup159p, Nup145Np, Nup116p, Nup100p, Nsp1p, Nup57p, Nup49p, Nup42p, Nup53p, Nup59p/Asm4p, Nup60p and Nup1. Characterized vertebrate FG-nucleoporins include Nup214, Nup98, Nup62, Nup54, Nup58/45, NLP1, and Nup153.
GO:0044614	nuclear pore cytoplasmic filaments	C	Filamentous extensions on cytoplasmic face of the nuclear pore complex (NPC). In S. cerevisiae, Nup159p, Nup82p, and Nup42p contribute to the cytoplasmic filaments. In vertebrates, Nup358 is a major component.
GO:0044615	nuclear pore nuclear basket	C	A filamentous, cage-like assembly on the nuclear face of the nuclear pore complex (NPC). In S. cerevisiae, Mlp1p and Mlp2p are two major components of the NPC nuclear basket. In vertebrates, Tpr is a major component.
GO:0044695	Dsc E3 ubiquitin ligase complex	C	An E3 ubiquitin ligase complex localized to the ER and Golgi membrane. In fission yeast comprises Dsc1, 2, 3 and 4. Involved in the processes of fission yeast sre1 (human SREBP) transcriptional activator proteolytic cleavage, the multivesicular body (MVB) pathway, and a post-endoplasmic reticulum pathway for protein catabolism.
GO:0044697	HICS complex	C	A multisubunit complex involved in cytokinesis. In the yeast Saccharomyces cerevisiae this complex consists of Sho1p, Hof1p, Inn1p and Cyk3p proteins.
GO:0045025	mitochondrial degradosome	C	A mitochondrial protein complex with 3' to 5' exoribonuclease activity that participates in intron-independent turnover and processing of mitochondrial transcripts. In humans, the mitochondrial degradosome is a pentameric complex, and in yeast it exists as a heterodimer.
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	C	The sector of a hydrogen-transporting ATP synthase complex in which the catalytic activity resides; it comprises the catalytic core and central stalk, and is peripherally associated with a membrane, such as the plasma membrane or the mitochondrial inner membrane, when the entire ATP synthase is assembled.
GO:0045298	tubulin complex	C	A heterodimer of tubulins alpha and beta that constitutes the protomer for microtubule assembly.
GO:0045333	cellular respiration	P	The enzymatic release of energy from organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration).
GO:0046540	U4/U6 x U5 tri-snRNP complex	C	A ribonucleoprotein complex formed by the association of the U4/U6 and U5 small nuclear ribonucleoproteins.
GO:0046695	SLIK (SAGA-like) complex	C	A SAGA-type histone acetyltransferase complex that contains Rtg2 and a smaller form of Spt7 than the fungal SAGA complex, and lacks Spt8. The complex is involved in the yeast retrograde response pathway, which is important for gene expression changes during mitochondrial dysfunction.
GO:0048188	Set1C/COMPASS complex	C	A conserved protein complex that catalyzes methylation of histone H3. In Saccharomyces the complex contains Shg1p, Sdc1p, Swd1p, Swd2p, Swd3p, Spp1p, Bre2p, and the trithorax-related Set1p; in mammals it contains the catalytic subunit (SETD1A or SETD1B), WDR5, WDR82, RBBP5, ASH2L/ASH2, CXXC1/CFP1, HCFC1 and DPY30.
GO:0048193	Golgi vesicle transport	P	The directed movement of substances into, out of or within the Golgi apparatus, mediated by vesicles.
GO:0048284	organelle fusion	P	The creation of a single organelle from two or more organelles.
GO:0048285	organelle fission	P	The creation of two or more organelles by division of one organelle.
GO:0048308	organelle inheritance	P	The partitioning of organelles between daughter cells at cell division.
GO:0048476	Holliday junction resolvase complex	C	A protein complex that mediates the conversion of a Holliday junction into two separate duplex DNA molecules; the complex includes a single- or multisubunit helicase that catalyzes the extension of heteroduplex DNA by branch migration and a nuclease that resolves the junction by nucleolytic cleavage.
GO:0051049	regulation of transport	P	Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
GO:0051052	regulation of DNA metabolic process	P	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA.
GO:0051082	unfolded protein binding	F	Interacting selectively and non-covalently with an unfolded protein.
GO:0051169	nuclear transport	P	The directed movement of substances into, out of, or within the nucleus.
GO:0051186	cofactor metabolic process	P	The chemical reactions and pathways involving a cofactor, a substance that is required for the activity of an enzyme or other protein. Cofactors may be inorganic, such as the metal atoms zinc, iron, and copper in certain forms, or organic, in which case they are referred to as coenzymes. Cofactors may either be bound tightly to active sites or bind loosely with the substrate.
GO:0051233	spindle midzone	C	The area in the center of the spindle where the spindle microtubules from opposite poles overlap.
GO:0051321	meiotic cell cycle	P	Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions.
GO:0051603	proteolysis involved in cellular protein catabolic process	P	The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
GO:0051604	protein maturation	P	Any process leading to the attainment of the full functional capacity of a protein.
GO:0051726	regulation of cell cycle	P	Any process that modulates the rate or extent of progression through the cell cycle.
GO:0055085	transmembrane transport	P	The process in which a solute is transported from one side of a membrane to the other.
GO:0055086	nucleobase-containing small molecule metabolic process	P	The cellular chemical reactions and pathways involving a nucleobase-containing small molecule: a nucleobase, a nucleoside, or a nucleotide.
